ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
15,republican,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
326,democrat,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
93,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
350,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
283,republican,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
201,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
54,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
411,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
195,democrat,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
154,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
209,democrat,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
26,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
168,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
49,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
274,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
383,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
230,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
75,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
206,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
180,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
185,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
215,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
343,democrat,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
208,republican,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
361,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
202,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
136,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
318,democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
281,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
422,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
175,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
78,democrat,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
189,republican,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
357,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
240,republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
418,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
242,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
253,democrat,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
414,republican,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
91,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
344,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
37,republican,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
57,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
251,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
268,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
306,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
183,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
323,democrat,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
349,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
255,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
8,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
169,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
6,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
61,democrat,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
297,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
346,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
390,democrat,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
113,democrat,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
304,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
147,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
405,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
11,republican,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
104,democrat,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
433,republican,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
162,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
381,democrat,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
331,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
103,democrat,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
428,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
138,democrat,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
302,democrat,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
435,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
63,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
9,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
118,republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
399,democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
134,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
102,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
79,democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
12,republican,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
4,democrat,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
88,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
23,democrat,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
94,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
423,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
368,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
45,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
44,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
376,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
254,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
358,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
199,democrat,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
394,republican,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
19,republican,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
397,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
365,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
