ID,"class"
275,republican
266,republican
247,republican
328,republican
232,republican
13,republican
30,republican
70,republican
97,republican
347,republican
225,republican
252,republican
410,republican
135,republican
80,republican
353,republican
50,republican
197,republican
237,republican
327,republican
146,republican
67,republican
16,republican
41,republican
22,republican
335,republican
194,republican
166,republican
46,republican
320,republican
127,republican
356,republican
294,republican
429,republican
246,republican
116,republican
107,republican
261,republican
322,republican
245,republican
366,republican
27,republican
133,republican
96,republican
66,republican
236,republican
341,republican
432,republican
342,republican
314,republican
112,republican
272,republican
72,republican
367,republican
345,republican
145,republican
203,republican
233,republican
124,republican
62,republican
262,republican
424,republican
325,republican
427,republican
420,republican
82,republican
284,republican
47,republican
14,republican
337,republican
239,republican
128,republican
105,republican
165,republican
278,republican
413,republican
334,republican
336,republican
421,republican
270,republican
111,republican
2,republican
158,republican
129,republican
139,republican
330,republican
419,republican
288,republican
301,republican
404,republican
144,republican
85,republican
316,republican
384,republican
243,republican
151,republican
74,republican
141,republican
265,republican
408,republican
276,republican
56,republican
191,republican
92,republican
86,republican
307,republican
221,republican
142,republican
25,republican
176,republican
359,republican
58,republican
379,republican
29,republican
163,republican
42,republican
188,republican
305,republican
332,republican
217,republican
386,republican
319,republican
340,republican
218,republican
100,republican
395,republican
229,republican
101,republican
271,republican
382,republican
374,republican
212,republican
10,republican
363,republican
339,republican
370,republican
157,republican
126,republican
31,republican
68,republican
299,republican
401,republican
122,republican
77,republican
263,republican
1,republican
210,republican
417,republican
426,republican
430,republican
71,republican
400,republican
24,republican
207,republican
434,republican
83,republican
308,republican
90,republican
172,republican
315,republican
20,republican
310,republican
280,republican
226,republican
311,republican
119,republican
287,republican
392,republican
348,republican
409,republican
329,republican
38,republican
55,republican
398,republican
190,republican
87,republican
378,republican
241,republican
393,republican
108,republican
277,republican
59,republican
248,republican
117,republican
264,republican
130,republican
333,republican
279,republican
167,republican
164,republican
120,republican
7,republican
224,republican
21,republican
48,republican
196,republican
109,republican
99,republican
269,republican
338,republican
364,republican
143,republican
198,republican
258,republican
380,republican
84,republican
161,republican
121,republican
249,republican
273,republican
150,republican
115,republican
291,republican
76,republican
123,republican
416,republican
309,republican
