ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
275,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
266,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
328,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
232,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
30,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
70,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
97,n,n,unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
347,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
225,n,y,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
252,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
410,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
135,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
353,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
50,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
197,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
146,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
67,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
16,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
41,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
22,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
166,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
46,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
320,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
127,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
294,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
429,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
246,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
116,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
261,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
245,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
96,y,n,y,n,y,y,n,unknown,unknown,n,y,unknown,unknown,unknown,y,y
66,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
236,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
432,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
314,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
112,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
272,n,y,y,n,n,y,y,y,y,n,unknown,n,n,n,n,y
72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
367,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
345,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
145,n,unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,unknown
203,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
233,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,unknown
124,y,unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
262,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
424,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
325,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
427,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
420,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
82,y,n,y,n,n,n,y,y,unknown,y,y,y,n,y,n,y
284,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
47,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
14,y,y,y,n,n,y,y,y,unknown,y,y,unknown,n,n,y,unknown
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
239,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
128,n,unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
105,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
165,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
334,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
421,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
158,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
129,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
139,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
330,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
419,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
288,y,y,y,unknown,n,y,y,y,y,n,y,n,y,n,unknown,y
301,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
144,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
85,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
316,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
243,n,n,n,n,y,y,y,n,n,n,n,unknown,n,y,y,y
151,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
74,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
141,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
265,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
276,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
56,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
191,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
221,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
142,n,n,n,y,y,y,y,y,y,y,n,y,y,y,unknown,y
25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
176,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
359,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,unknown
